timestamp_ms,datetime,state,reason
1764547696634,"2025-11-30 21:08:16","Sistema ligado","Programa iniciado"
1764547702961,"2025-11-30 21:08:22","Teleop ativado","Modo inicial"
1764547703967,"2025-11-30 21:08:23","Falha nos sensores","Sem dados de IMU por > 1s"
1764550763605,"2025-11-30 21:59:23","Sistema ligado","Programa iniciado"
1764550794718,"2025-11-30 21:59:54","Teleop ativado","Modo inicial"
1764550795722,"2025-11-30 21:59:55","Falha nos sensores","Sem dados de IMU por > 1s"
1764626660595,"2025-12-01 19:04:20","Sistema ligado","Programa iniciado"
1764626662754,"2025-12-01 19:04:22","Teleop ativado","Modo inicial"
1764626663766,"2025-12-01 19:04:23","Falha nos sensores","Sem dados de IMU por > 1s"
1764626685270,"2025-12-01 19:04:45","Autonomo ativado","Saida do teleop (x)"
1764628708055,"2025-12-01 19:38:28","Sistema ligado","Programa iniciado"
1764628712243,"2025-12-01 19:38:32","Teleop ativado","Modo inicial"
1764628744207,"2025-12-01 19:39:04","Falha nos sensores","Sem dados de IMU por > 1s"
1764628751263,"2025-12-01 19:39:11","Sistema ligado","Programa iniciado"
1764628754073,"2025-12-01 19:39:14","Autonomo ativado","Modo inicial"
1764628770988,"2025-12-01 19:39:30","Falha nos sensores","Sem dados de IMU por > 1s"
1764683474915,"2025-12-02 10:51:14","Sistema ligado","Programa iniciado"
1764683479652,"2025-12-02 10:51:19","Teleop ativado","Modo inicial"
1764683517486,"2025-12-02 10:51:57","Falha nos sensores","Sem dados de IMU por > 1s"
1764683528645,"2025-12-02 10:52:08","Autonomo ativado","Saida do teleop (x)"
1764684502625,"2025-12-02 11:08:22","Sistema ligado","Programa iniciado"
1764684504699,"2025-12-02 11:08:24","Teleop ativado","Modo inicial"
1764684510628,"2025-12-02 11:08:30","Falha nos sensores","Sem dados de IMU por > 1s"
1764684685245,"2025-12-02 11:11:25","Sistema ligado","Programa iniciado"
1764684708308,"2025-12-02 11:11:48","Sistema ligado","Programa iniciado"
1764684709393,"2025-12-02 11:11:49","Teleop ativado","Modo inicial"
1764684710400,"2025-12-02 11:11:50","Falha nos sensores","Sem dados de IMU por > 1s"
1764685491446,"2025-12-02 11:24:51","Sistema ligado","Programa iniciado"
1764685495799,"2025-12-02 11:24:55","Teleop ativado","Modo inicial"
1764685496804,"2025-12-02 11:24:56","Falha nos sensores","Sem dados de IMU por > 1s"
1764685601799,"2025-12-02 11:26:41","Sistema ligado","Programa iniciado"
1764685612512,"2025-12-02 11:26:52","Teleop ativado","Modo inicial"
1764685613517,"2025-12-02 11:26:53","Falha nos sensores","Sem dados de IMU por > 1s"
1764696940337,"2025-12-02 14:35:40","Sistema ligado","Programa iniciado"
1764696946102,"2025-12-02 14:35:46","Teleop ativado","Modo inicial"
1764696947109,"2025-12-02 14:35:47","Falha nos sensores","Sem dados de IMU por > 1s"
1764697002481,"2025-12-02 14:36:42","Autonomo ativado","Saida do teleop (x)"
1764699035437,"2025-12-02 15:10:35","Sistema ligado","Programa iniciado"
1764699039312,"2025-12-02 15:10:39","Autonomo ativado","Modo inicial"
1764699055290,"2025-12-02 15:10:55","Falha nos sensores","Sem dados de IMU por > 1s"
1764699098724,"2025-12-02 15:11:38","Sistema ligado","Programa iniciado"
1764699101606,"2025-12-02 15:11:41","Teleop ativado","Modo inicial"
1764699102612,"2025-12-02 15:11:42","Falha nos sensores","Sem dados de IMU por > 1s"
1764699163337,"2025-12-02 15:12:43","Autonomo ativado","Saida do teleop (x)"
1764700820412,"2025-12-02 15:40:20","Sistema ligado","Programa iniciado"
1764700823706,"2025-12-02 15:40:23","Autonomo ativado","Modo inicial"
1764700824714,"2025-12-02 15:40:24","Falha nos sensores","Sem dados de IMU por > 1s"
1764702015919,"2025-12-02 16:00:15","Sistema ligado","Programa iniciado"
1764702017922,"2025-12-02 16:00:17","Autonomo ativado","Modo inicial"
1764702018928,"2025-12-02 16:00:18","Falha nos sensores","Sem dados de IMU por > 1s"
1764702019330,"2025-12-02 16:00:19","Em trajeto","Visao recuperada"
1764702041237,"2025-12-02 16:00:41","Falha nos sensores","Sem dados de IMU por > 1s"
1764702041619,"2025-12-02 16:00:41","Em trajeto","IMU recuperada"
1764702043470,"2025-12-02 16:00:43","Falha nos sensores","Sem dados de IMU por > 1s"
1764702044899,"2025-12-02 16:00:44","Em trajeto","IMU recuperada"
1764702045904,"2025-12-02 16:00:45","Falha nos sensores","Sem dados de IMU por > 1s"
1764702048297,"2025-12-02 16:00:48","Em trajeto","IMU recuperada"
1764702049302,"2025-12-02 16:00:49","Falha nos sensores","Sem dados de IMU por > 1s"
1764702054900,"2025-12-02 16:00:54","Em trajeto","IMU recuperada"
1764702066771,"2025-12-02 16:01:06","Falha nos sensores","Sem dados de IMU por > 1s"
1764702067133,"2025-12-02 16:01:07","Em trajeto","IMU recuperada"
1764702089878,"2025-12-02 16:01:29","Falha nos sensores","Sem dados de IMU por > 1s"
1764702089999,"2025-12-02 16:01:29","Em trajeto","IMU recuperada"
1764702091005,"2025-12-02 16:01:31","Falha nos sensores","Sem dados de IMU por > 1s"
1764702091508,"2025-12-02 16:01:31","Em trajeto","IMU recuperada"
1764702092517,"2025-12-02 16:01:32","Falha nos sensores","Sem dados de IMU por > 1s"
1764702093361,"2025-12-02 16:01:33","Em trajeto","IMU recuperada"
1764702094366,"2025-12-02 16:01:34","Falha nos sensores","Sem dados de IMU por > 1s"
1764702095592,"2025-12-02 16:01:35","Em trajeto","IMU recuperada"
1764702096597,"2025-12-02 16:01:36","Falha nos sensores","Sem dados de IMU por > 1s"
